"file","roi","duration","pres_min.kPa.","pres_min.time.","pres_max.kPa.","pres_max.time.","pres_median.kPa.","pres_iqr.kPa.","pres_max_1s_nadir.kPa.","pres_max_1s_nadir.time.","pres_rpc","pres_acclim_pres_surface","pres_acclim_pres_depth","pres_lrpc_surface","pres_lrpc_depth","nadir_baro","rpc_baro","lrpc_baro_surface","lrpc_baro_depth","rot_min.degs.","rot_min.time.","rot_max.degs.","rot_max.time.","rot_median.degs.","rot_iqr.degs.","acc_hig_min.g.","acc_hig_min.time.","acc_hig_max.g.","acc_hig_max.time.","acc_hig_median.g.","acc_hig_iqr.g.","acc_event_95g","acc_event_200g","acc_event_400g","acc_strike","acc_shear","acc_collision","acc_inacc_min.ms.","acc_inacc_min.time.","acc_inacc_max.ms.","acc_inacc_max.time.","acc_inacc_median.ms.","acc_inacc_iqr.ms.","acc_peak_1.time.","acc_peak_1.g.","acc_peak_1_type","acc_peak_2.time.","acc_peak_2.g.","acc_peak_2_type","acc_peak_3.time.","acc_peak_3.g.","acc_peak_3_type","acc_peak_4.time.","acc_peak_4.g.","acc_peak_4_type","acc_peak_5.time.","acc_peak_5.g.","acc_peak_5_type","acc_peak_6.time.","acc_peak_6.g.","acc_peak_6_type","acc_strike_event.time.","acc_strike_event.g."
"B61-0703140718","overall",NA,83.21,21.08,151.52,12.08,103.1,24.02,98.95,20.21,15.74,101.3,120.9,0.1967,0.3736,"N","N","N","N",2.46,12.31,3307.83,21.37,288.26,312.64,0,10.58,410,21.43,0,1.6,4,4,1,"N",0,1,-9.61,14.42,213.28,21.37,0.08,1.15,21.3635,266.4,"collision",21.428,410,"collision",21.4595,330.6,"collision",21.794,217.7,"collision",NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi1_sens_ingress",NA,101.76,10.75,102.55,10.7,102.19,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.17,10.74,133.24,10.58,89.58,50.44,0,10.58,0,10.58,0,0,0,0,0,NA,0,0,-0.56,10.63,1.58,10.75,-0.12,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi2_inflow_passage",NA,86.05,13.62,151.52,12.08,96.32,9.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,12.31,763.95,20.17,150.82,241.45,0,10.78,87.5,14.28,0,1.6,0,0,0,NA,0,0,-9.61,14.42,52.56,14.66,-0.1,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi3_prenadir",NA,93.09,20.93,98.64,20.65,96.8,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.15,20.58,662.1,20.74,526.23,203.51,0,20.58,0,20.58,0,0,0,0,0,NA,0,0,-0.51,20.95,4.24,20.9,1.78,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi4_nadir",NA,83.21,21.08,134.91,21.18,95.41,20.96,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,321.01,21.07,673.19,21.09,426.33,83.18,0,20.98,14.6,21.11,5.6,4.65,0,0,0,"N",0,0,-6.78,21.01,111.44,21.14,42.39,51.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi5_postnadir",NA,128.21,21.36,143.42,21.38,135.03,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.05,21.18,3307.83,21.37,1904.83,1245.93,0.5,21.21,410,21.43,10,10.6,3,3,1,NA,0,1,-4.51,21.24,213.28,21.37,72.77,87.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi6_outflow_passage",NA,101.22,31.33,150.04,21.81,106.76,31.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.67,28.33,2636.02,21.61,388.2,331.47,0,25.35,217.7,21.79,0,1.4,1,1,0,NA,0,0,-4.44,22.12,102.43,21.59,0.19,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703140718","roi7_sens_outgress",NA,101.19,31.58,101.24,31.42,101.22,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.57,31.48,339.2,31.58,244.68,57.61,0,31.38,0,31.38,0,0,0,0,0,NA,0,0,-0.04,31.38,0.69,31.52,0.49,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","overall",NA,88.41,19.84,143.82,31.69,96.99,16.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,20.14,3059.15,30.79,258.76,299.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi1_sens_ingress",NA,88.41,19.84,90.33,19.92,89.37,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5,20,86.08,19.81,77.86,19.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi2_inflow_passage",NA,88.74,20.34,97.63,26.22,94.16,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,20.14,762.92,26.09,110.67,198.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi3_prenadir",NA,92.46,30.15,96.1,29.89,94.61,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.55,29.81,745.79,30.12,470.38,387.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B61-0703180049","roi4_nadir",NA,88.8,30.31,129.05,30.41,94.12,26.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.96,30.32,1541.13,30.38,475.55,652.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
