file,class,sensor,date_deploy,time_deploy,duration[mm:ss],t_max_p_1s_nadir,t_nadir,nadir,max_p_1s_nadir,rate_pc,ratio_pc,log_RPC,treatment,inj_pos,sens_wc_pos_ent,sens_wc_pos_blade,sens_wc_pos_exit,clear_passage,rotate_hub,pres_force,passage_loc,centre_hub_contact,blade_contact,n_contact,c_1_bl,c_1_sl,c_1_bv,c_1_type,c_2_bl,c_2_sl,c_2_bv,c_2_type,t_start_roi1,t_end_roi1,t_start_roi2,t_end_roi2,t_start_roi3,t_end_roi3,t_start_roi4,t_end_roi4,t_start_roi5,t_end_roi5,t_start_roi6,t_end_roi6,max_accmag_roi1,max_accmag_roi2,max_accmag_roi3,max_accmag_roi4,max_accmag_roi5,max_accmag_roi6,max_accmag_time_roi1,max_accmag_time_roi2,max_accmag_time_roi3,max_accmag_time_roi4,max_accmag_time_roi5,max_accmag_time_roi6,nadir_acceleration,max_hig_roi1,max_hig_roi2,max_hig_roi3,max_hig_roi4,max_hig_roi5,max_hig_roi6,max_hig_time_roi1,max_hig_time_roi2,max_hig_time_roi3,max_hig_time_roi4,max_hig_time_roi5,max_hig_time_roi6,max_nadir_acc_dist,max_nadir_acc_position,acc_rms,accmag_1,accmag_1_t,accmag_1_p,guide_vane_contact,accmag_2,accmag_2_t,accmag_2_p,accmag_3,accmag_3_t,accmag_3_p,accmag_4,accmag_4_t,accmag_4_p,inj_to_pre_nadir_accmag_count,pre_nadir_event_accmag_count,nadir_event_accmag_count,post_nadir_event_accmag_count,post_nadir_to_rec_accmag_count,accmag_5,accmag_5_t,accmag_5_p,accmag_6,accmag_6_t,accmag_6_p,accmag_7,accmag_7_t,accmag_7_p,accmag_8,accmag_8_t,accmag_8_p
B67-0807110036_imp,100_imp,B67,07/08,11:00:36,00:59:00,29.13,29.15,799,1148.8,349.8,1.25156445556946,0.224394333215862,400 (50%),High,NA,NA,NA,Contact,NA,NA,NA,No CH contact,Blade contact,1,NA,NA,NA,NA,NA,NA,NA,NA,27.23,31.07,28.95,29.35,28.45,28.95,29.35,29.85,27.23,28.45,29.85,31.07,232.569,232.569,18.327,227.207,0.536,133.357,29.33,29.33,28.95,29.39,27.73,30.6,197.803,566.9,566.9,NA,437.8,NA,431.3,29.123,29.123,NA,29.473,NA,31.0165,0.18,After nadir,118.005938719202,232.569,29.33,1400.4,No GV contact,111.601,29.92,1326.3,103.886,30.09,1410.1,133.357,30.6,1377.4,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0807111934_imp,100_imp,B67,07/08,11:19:34,00:59:00,28.74,29.58,956.3,1052.3,96,1.04569695702186,0.0446836076266401,400 (50%),Low,NA,NA,NA,No contact,NA,NA,NA,No CH contact,No blade contact,0,NA,NA,NA,NA,NA,NA,NA,NA,27.66,31.5,29.38,29.78,28.88,29.38,29.78,30.28,27.66,28.88,30.28,31.5,235.343,216.127,1.774,157.075,0.269,235.343,30.64,29.76,29.12,29.78,28.88,30.64,184.992,427.9,370.8,NA,427.9,NA,348,29.888,29.775,NA,29.888,NA,30.629,0.18,After nadir,109.381797586565,216.127,29.76,1138.1,GV contact,150.775,29.97,1337.4,235.343,30.64,1283.2,214.497,30.69,1403.4,0,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0807114333_imp,100_imp,B67,07/08,11:43:33,00:59:00,22.7,23.54,950.8,1043.8,93,1.051745898191,0.0504515434960982,400 (50%),High,NA,NA,NA,No contact,NA,NA,NA,No CH contact,No blade contact,0,NA,NA,NA,NA,NA,NA,NA,NA,21.62,25.46,23.34,23.74,22.84,23.34,23.74,24.24,21.62,22.84,24.24,25.46,159.837,130.874,3.649,159.837,1.387,95.614,23.76,23.54,23.33,23.76,22.75,24.5,130.874,273.6,25.1,NA,273.6,NA,183.7,24.059,23.7335,NA,24.059,NA,24.3745,0,On nadir,69.702809500538,159.837,23.76,1296.3,GV contact,107.741,23.82,1384.4,156.051,24.06,1403.3,NA,NA,NA,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0807120104_imp,100_imp,B67,07/08,12:01:04,00:59:00,26.17,26.38,498.4,1170.9,672.5,2.00642054574639,0.696352311508894,400 (50%),Low,NA,NA,NA,Contact,NA,NA,NA,No CH contact,Blade contact,5,NA,NA,NA,NA,NA,NA,NA,NA,24.46,28.3,26.18,26.58,25.68,26.18,26.58,27.08,24.46,25.68,27.08,28.3,256.734,256.734,115.453,237.941,144.241,208.436,26.27,26.27,26.18,26.66,25.45,28.09,155.562,559.4,559.4,397.1,408.9,398.4,266.1,26.3795,26.3795,26.1785,26.719,24.565,28.038,-0.11,Before nadir,165.782680103406,143.412,25.34,982.9,No GV contact,144.241,25.45,976.8,256.734,26.27,511.8,115.265,27.13,1314.2,2,0,1,0,3,157.409,27.22,1347.5,208.436,28.09,1332.4,NA,NA,NA,NA,NA,NA
B67-0807122504_imp,100_imp,B67,07/08,12:25:04,01:00:00,23.82,23.85,872.7,1047.8,175.1,1.14586914174401,0.136163424812871,400 (50%),High,NA,NA,NA,Contact,NA,NA,NA,No CH contact,Blade contact,3,NA,NA,NA,NA,NA,NA,NA,NA,21.93,25.77,23.65,24.05,23.15,23.65,24.05,24.55,21.93,23.15,24.55,25.77,226.772,226.772,11.174,177.547,3.072,203.035,23.87,23.87,23.56,24.08,22.93,24.95,213.843,643.4,643.4,NA,340,NA,103.8,23.854,23.854,NA,24.072,NA,25.062,0.02,After nadir,100.459239710903,226.772,23.87,926.5,GV contact,177.547,24.08,1385.4,114.058,24.49,1393.2,203.035,24.95,1410.3,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0807144926_imp,100_imp,B67,07/08,14:49:26,00:59:00,38.85,38.89,904.4,1053.9,149.5,1.10570544007077,0.100483538578322,400 (50%),Low,NA,NA,NA,No contact,NA,NA,NA,No CH contact,No blade contact,0,NA,NA,NA,NA,NA,NA,NA,NA,36.97,40.81,38.69,39.09,38.19,38.69,39.09,39.59,36.97,38.19,39.59,40.81,212.534,170.463,73.889,212.534,25.538,149.404,39.18,39.04,38.36,39.18,37.4,40.64,167.747,236.1,56.7,10.4,67,42.2,236.1,39.6615,39.082,38.3335,39.3645,37.381,39.6615,0.15,After nadir,105.164038786682,212.534,39.18,1358.1,GV contact,134.131,39.51,1351.9,129.043,39.63,1313.7,114.375,40.51,1276.2,0,0,0,2,3,149.404,40.64,1316.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0807151459_imp,100_imp,B67,07/08,15:14:59,00:59:00,24.52,24.55,779.7,1080.1,300.4,1.28254456842375,0.248846048666583,400 (50%),Low,NA,NA,NA,No contact,NA,NA,NA,No CH contact,No blade contact,0,NA,NA,NA,NA,NA,NA,NA,NA,22.63,26.47,24.35,24.75,23.85,24.35,24.75,25.25,22.63,23.85,25.25,26.47,188.682,182.479,61.262,188.682,19.292,90.157,24.79,24.69,24.17,24.79,23.81,25.25,170.293,617.6,617.6,NA,359.9,NA,175.9,24.648,24.648,NA,24.8835,NA,25.6195,0.14,After nadir,97.71124200281,188.682,24.79,1353.6,GV contact,124.445,25.04,1304,124.551,25.19,1359.8,NA,NA,NA,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0807152710_imp,100_imp,B67,07/08,15:27:10,00:59:00,27.72,28.53,983.1,1043.2,60.1,1.01719051978436,0.0170444346092584,400 (50%),Low,NA,NA,NA,Contact,NA,NA,NA,No CH contact,Blade contact,1,NA,NA,NA,NA,NA,NA,NA,NA,26.61,30.45,28.33,28.73,27.83,28.33,28.73,29.23,26.61,27.83,29.23,30.45,215.533,173.412,13.058,215.533,4.744,35.695,28.82,28.69,28.33,28.82,27.67,29.65,45.845,454.8,139.8,NA,454.8,NA,62,28.876,28.682,NA,28.876,NA,29.747,0.16,After nadir,98.4887030291589,215.533,28.82,1306.4,GV contact,182.585,28.88,1422.1,136.452,29.06,1281.2,NA,NA,NA,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0807154211_imp,100_imp,B67,07/08,15:42:11,00:59:00,23.57,23.59,793.2,1127.4,334.2,1.26071608673727,0.231679882336496,400 (50%),High,NA,NA,NA,Contact,NA,NA,NA,No CH contact,Blade contact,1,NA,NA,NA,NA,NA,NA,NA,NA,21.67,25.51,23.39,23.79,22.89,23.39,23.79,24.29,21.67,22.89,24.29,25.51,239.335,239.335,37.733,239.335,56.951,181.324,23.79,23.79,23.16,23.79,22.86,24.41,198.222,499.9,121.3,169.8,33.5,244.6,499.9,24.3755,23.6415,23.137,23.86,22.8565,24.3755,0.2,After nadir,129.235853270998,239.335,23.79,1152.7,GV contact,125.84,24.24,1391.3,181.324,24.41,1384.5,NA,NA,NA,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B67-0807155319_imp,100_imp,B67,07/08,15:53:19,01:00:00,23.93,23.95,946,1091.8,145.8,1.05708245243129,0.0555127099302588,400 (50%),High,NA,NA,NA,Contact,NA,NA,NA,No CH contact,Blade contact,1,NA,NA,NA,NA,NA,NA,NA,NA,22.03,25.87,23.75,24.15,23.25,23.75,24.15,24.65,22.03,23.25,24.65,25.87,227.566,227.566,45.957,221.716,78.913,160.473,24.1,24.1,23.53,24.16,22.94,25.17,130.172,392.5,299.5,12.8,138.9,196.2,392.5,25.1865,24.0485,23.251,24.166,22.7505,25.1865,0.15,After nadir,111.765478831084,227.566,24.1,1403.1,GV contact,148.627,24.34,1376.5,163.867,24.58,1334.1,160.473,25.17,1391.9,0,0,1,2,2,125.607,25.34,1311,NA,NA,NA,NA,NA,NA,NA,NA,NA
