"file","sensor","date_deploy","duration.mm.ss.","bad_sens","site","deployment_id","pump_turbine","type","rpm","head","flow","point_bep","treatment","run","deployment_info","deployment_config","roi_config","delineated","trimmed","normalized","passage_times","passage_duration.mm.ss.","ingress_nadir_duration.mm.ss.","nadir_outgress_duration.mm.ss.","pres_config","all_pres_processed","pres_sum_processed","pres_rpc_processed","pres_lrpc_processed","acc_config","all_acc_processed","acc_sum_processed","acc_hig_peaks_processed","acc_strike_processed","acc_collision_processed","rot_config","all_rot_processed","rot_sum_processed","pres_min.kPa.","pres_min.time.","HIG_max.g.","HIG_max.time.","messages"
"B61-0704112605","B61","04/07","01:00","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",86.85,31.55,589.6,31.5855,"HIG: High impact event >= 400g found"
"B61-0704123716","B61","04/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",82.04,31.25,403.2,31.3495,"HIG: High impact event >= 400g found"
"B61-0704133030","B61","04/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",99.52,4.46,444.1,4.4475,"HIG: High impact event >= 400g found"
"B62-0703140412","B62","03/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",99.03,6.43,228.2,6.402,"No warnings"
"B62-0703174721","B62","03/07","01:00","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",87.6300000000016,28.65,171.3,29.146,"No warnings"
"B62-0703183930","B62","03/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",94.99,29.29,213.9,30.2485,"No warnings"
"B62-0704114942","B62","04/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",67.88,27.46,570.3,27.4275,"HIG: High impact event >= 400g found"
"B62-0704123518","B62","04/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",98.51,5.21,350.9,5.1945,"No warnings"
"B62-0704135530","B62","04/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",79.58,20.31,465.5,20.549,"HIG: High impact event >= 400g found"
"B63-0703134337","B63","03/07","01:00","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",78.2000000000021,27.74,402.1,27.9755,"HIG: High impact event >= 400g found"
"B63-0703175355","B63","03/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",86.07,23.27,449.9,23.51,"HIG: High impact event >= 400g found"
"B63-0703183412","B63","03/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",99.82,5.36,314,5.3465,"No warnings"
"B61-0703140718","B61","03/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","","Wide_configuration","Y","Y","N","N",NA,NA,NA,"Default_configuration","Y","Y","Y","Y","Default_configuration","Y","Y","Y","N","Y",NA,"N","N",83.2100000000025,21.08,410,21.428,"HIG: High impact event >= 400g found"
"B61-0703180049","B61","03/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",88.8000000000009,30.31,520.8,30.7155,"HIG: High impact event >= 400g found"
"B61-0703185012","B61","03/07","00:59","N","","","","",NA,NA,NA,NA,"",NA,"N","",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",92.38,35.12,656.8,35.361,"HIG: High impact event >= 400g found"
"B117-0320135119","B117","20/03","06:19","Y","Kirton_Lane","KL_Pentair_XRW_2025","Pentair_XRW","Centrifugal",0,0,0,0,"Scenario_1",1,"Y","Kirton_Lane_configuration",NA,"N","N","N","N",NA,NA,NA,NA,"N","N","N","N",NA,"N","N","N","N","N",NA,"N","N",99.94,378.67,10.9,379.021,"No warnings"
"B62-0320124850","B62","20/03","15:00","N","Kirton_Lane","KL_Pentair_XRW_2025","Pentair_XRW","Centrifugal",0,0,0,0,"Scenario_1",1,"Y","Kirton_Lane_configuration","Default_configuration","Y","Y","N","N",NA,NA,NA,"Default_configuration","Y","Y","Y","Y","Default_configuration","Y","Y","Y","N","Y",NA,"N","N",109,269.33,515,269.352,"HIG: High impact event >= 400g found"
